_id,deviceId,unit,line,modelName,operation,guauge,height,diameter,surfaceArea,
ObjectId(5b31f64b2941f7068578e8eb),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,73,1
ObjectId(5b31f64c2941f7068578e8ec),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,74,1
ObjectId(5b31f64d2941f7068578e8ed),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,75,1
ObjectId(5b31f64d2941f7068578e8ee),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,76,1
ObjectId(5b31f64e2941f7068578e8ef),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,77,1
ObjectId(5b31f64f2941f7068578e8f0),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,78,1
ObjectId(5b31f6502941f7068578e8f1),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,79,1
ObjectId(5b31f6512941f7068578e8f2),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,80,1
ObjectId(5b31f6512941f7068578e8f3),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,81,1
ObjectId(5b31f6522941f7068578e8f4),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,82,1
ObjectId(5b31f6532941f7068578e8f5),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,83,1
ObjectId(5b31f6542941f7068578e8f6),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,84,1
ObjectId(5b31f6552941f7068578e8f7),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,85,1
ObjectId(5b31f6552941f7068578e8f8),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,86,1
ObjectId(5b31f6562941f7068578e8f9),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,87,1
ObjectId(5b31f6572941f7068578e8fa),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,88,1
ObjectId(5b31f6582941f7068578e8fb),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,89,1
ObjectId(5b31f6592941f7068578e8fc),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,90,1
ObjectId(5b31f6592941f7068578e8fd),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,91,1
ObjectId(5b31f65a2941f7068578e8fe),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,92,1
ObjectId(5b31f65b2941f7068578e8ff),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,93,1
ObjectId(5b31f65c2941f7068578e900),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,94,1
ObjectId(5b31f65d2941f7068578e901),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,95,1
ObjectId(5b31f65d2941f7068578e902),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,96,1
ObjectId(5b31f65e2941f7068578e903),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,97,1
ObjectId(5b31f65f2941f7068578e904),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,98,1
ObjectId(5b31f6602941f7068578e905),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,99,1
ObjectId(5b31f6612941f7068578e906),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,100,1
ObjectId(5b31f6612941f7068578e907),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,101,1
ObjectId(5b31f6622941f7068578e908),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,102,1
ObjectId(5b31f6632941f7068578e909),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,103,1
ObjectId(5b31f6642941f7068578e90a),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,104,1
ObjectId(5b31f6652941f7068578e90b),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,105,1
ObjectId(5b31f6652941f7068578e90c),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,106,1
ObjectId(5b31f6662941f7068578e90d),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,107,1
ObjectId(5b31f6672941f7068578e90e),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,108,1
ObjectId(5b31f6682941f7068578e90f),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,109,1
ObjectId(5b31f6692941f7068578e910),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,110,1
ObjectId(5b31f6692941f7068578e911),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,111,1
ObjectId(5b31f66a2941f7068578e912),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,112,1
ObjectId(5b31f66b2941f7068578e913),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,113,1
ObjectId(5b31f66c2941f7068578e914),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,114,1
ObjectId(5b31f66d2941f7068578e915),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,115,1
ObjectId(5b31f66d2941f7068578e916),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,116,1
ObjectId(5b31f66e2941f7068578e917),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,117,1
ObjectId(5b31f66f2941f7068578e918),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,118,1
ObjectId(5b31f6702941f7068578e919),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,119,1
ObjectId(5b31f6712941f7068578e91a),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,120,1
ObjectId(5b31f6712941f7068578e91b),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,121,1
ObjectId(5b31f6722941f7068578e91c),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,122,1
ObjectId(5b31f6732941f7068578e91d),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,123,1
ObjectId(5b31f6742941f7068578e91e),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,124,1
ObjectId(5b31f6752941f7068578e91f),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,125,1
ObjectId(5b31f6752941f7068578e920),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,126,1
ObjectId(5b31f6762941f7068578e921),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,127,1
ObjectId(5b31f6772941f7068578e922),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,128,1
ObjectId(5b31f6782941f7068578e923),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,129,1
ObjectId(5b31f6792941f7068578e924),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,130,1
ObjectId(5b31f6792941f7068578e925),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,131,1
ObjectId(5b31f67a2941f7068578e926),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,132,1
ObjectId(5b31f67b2941f7068578e927),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,133,1
ObjectId(5b31f67c2941f7068578e928),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,134,1
ObjectId(5b31f67d2941f7068578e929),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,135,1
ObjectId(5b31f67d2941f7068578e92a),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,136,1
ObjectId(5b31f67e2941f7068578e92b),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,137,1
ObjectId(5b31f67f2941f7068578e92c),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,138,1
ObjectId(5b31f6802941f7068578e92d),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,139,1
ObjectId(5b31f6812941f7068578e92e),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,140,1
ObjectId(5b31f6812941f7068578e92f),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,141,1
ObjectId(5b31f6822941f7068578e930),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,142,1
ObjectId(5b31f6832941f7068578e931),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,143,1
ObjectId(5b31f6842941f7068578e932),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,144,1
ObjectId(5b31f6852941f7068578e933),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,145,1
ObjectId(5b31f6852941f7068578e934),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,146,1
ObjectId(5b31f6862941f7068578e935),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,147,1
ObjectId(5b31f6872941f7068578e936),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,148,1
ObjectId(5b31f6882941f7068578e937),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,149,1
ObjectId(5b31f6892941f7068578e938),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,150,1
ObjectId(5b31f68a2941f7068578e939),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,151,1
ObjectId(5b31f68a2941f7068578e93a),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,152,1
ObjectId(5b31f68b2941f7068578e93b),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,153,1
ObjectId(5b31f68c2941f7068578e93c),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,154,1
ObjectId(5b31f68d2941f7068578e93d),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,155,1
ObjectId(5b31f68e2941f7068578e93e),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,156,1
ObjectId(5b31f68e2941f7068578e93f),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,157,1
ObjectId(5b31f68f2941f7068578e940),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,158,1
ObjectId(5b31f6902941f7068578e941),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,159,1
ObjectId(5b31f6912941f7068578e942),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,160,1
ObjectId(5b31f6922941f7068578e943),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,161,1
ObjectId(5b31f6922941f7068578e944),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,162,1
ObjectId(5b31f6932941f7068578e945),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,163,1
ObjectId(5b31f6942941f7068578e946),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,164,1
ObjectId(5b31f6952941f7068578e947),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,165,1
ObjectId(5b31f6962941f7068578e948),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,166,1
ObjectId(5b31f6962941f7068578e949),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,167,1
ObjectId(5b31f6972941f7068578e94a),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,168,1
ObjectId(5b31f6982941f7068578e94b),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,169,1
ObjectId(5b31f6992941f7068578e94c),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,170,1
ObjectId(5b31f69a2941f7068578e94d),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,171,1
ObjectId(5b31f69a2941f7068578e94e),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,172,1
ObjectId(5b31f69b2941f7068578e94f),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,173,1
ObjectId(5b31f69c2941f7068578e950),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,174,1
ObjectId(5b31f69d2941f7068578e951),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,175,1
ObjectId(5b31f69e2941f7068578e952),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,176,1
ObjectId(5b31f69e2941f7068578e953),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,177,1
ObjectId(5b31f69f2941f7068578e954),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,178,1
ObjectId(5b31f6a02941f7068578e955),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,179,1
