_id,REGION,LOCATION,PLANT,LINE,MODEL,OPERATOR,DEVICEID,PARAMETER,DATA
ObjectId(5b22310030d0fb1c1e02625a),tn,hosur,p1,l1,m1,op1,d1,temp,169
ObjectId(5b22310130d0fb1c1e02625b),tn,hosur,p1,l1,m1,op1,d1,temp,170
ObjectId(5b22310230d0fb1c1e02625c),tn,hosur,p1,l1,m1,op1,d1,temp,171
ObjectId(5b22310330d0fb1c1e02625d),tn,hosur,p1,l1,m1,op1,d1,temp,172
ObjectId(5b22310430d0fb1c1e02625e),tn,hosur,p1,l1,m1,op1,d1,temp,173
ObjectId(5b22310530d0fb1c1e02625f),tn,hosur,p1,l1,m1,op1,d1,temp,174
ObjectId(5b22310630d0fb1c1e026260),tn,hosur,p1,l1,m1,op1,d1,temp,175
ObjectId(5b22310730d0fb1c1e026261),tn,hosur,p1,l1,m1,op1,d1,temp,176
ObjectId(5b22310830d0fb1c1e026262),tn,hosur,p1,l1,m1,op1,d1,temp,177
ObjectId(5b22310930d0fb1c1e026263),tn,hosur,p1,l1,m1,op1,d1,temp,178
ObjectId(5b22310a30d0fb1c1e026264),tn,hosur,p1,l1,m1,op1,d1,temp,179
ObjectId(5b22310b30d0fb1c1e026265),tn,hosur,p1,l1,m1,op1,d1,temp,180
ObjectId(5b22310c30d0fb1c1e026266),tn,hosur,p1,l1,m1,op1,d1,temp,181
ObjectId(5b22310d30d0fb1c1e026267),tn,hosur,p1,l1,m1,op1,d1,temp,182
ObjectId(5b22310e30d0fb1c1e026268),tn,hosur,p1,l1,m1,op1,d1,temp,183
ObjectId(5b22310f30d0fb1c1e026269),tn,hosur,p1,l1,m1,op1,d1,temp,184
ObjectId(5b22311030d0fb1c1e02626a),tn,hosur,p1,l1,m1,op1,d1,temp,185
ObjectId(5b22311130d0fb1c1e02626b),tn,hosur,p1,l1,m1,op1,d1,temp,186
ObjectId(5b22311230d0fb1c1e02626c),tn,hosur,p1,l1,m1,op1,d1,temp,187
ObjectId(5b22311330d0fb1c1e02626d),tn,hosur,p1,l1,m1,op1,d1,temp,188
ObjectId(5b22311430d0fb1c1e02626e),tn,hosur,p1,l1,m1,op1,d1,temp,189
ObjectId(5b22311530d0fb1c1e02626f),tn,hosur,p1,l1,m1,op1,d1,temp,190
ObjectId(5b22311630d0fb1c1e026270),tn,hosur,p1,l1,m1,op1,d1,temp,191
ObjectId(5b22311730d0fb1c1e026271),tn,hosur,p1,l1,m1,op1,d1,temp,192
ObjectId(5b22311830d0fb1c1e026272),tn,hosur,p1,l1,m1,op1,d1,temp,193
ObjectId(5b22311930d0fb1c1e026273),tn,hosur,p1,l1,m1,op1,d1,temp,194
ObjectId(5b22311a30d0fb1c1e026274),tn,hosur,p1,l1,m1,op1,d1,temp,195
ObjectId(5b22311b30d0fb1c1e026275),tn,hosur,p1,l1,m1,op1,d1,temp,196
ObjectId(5b22311c30d0fb1c1e026276),tn,hosur,p1,l1,m1,op1,d1,temp,197
ObjectId(5b22311d30d0fb1c1e026277),tn,hosur,p1,l1,m1,op1,d1,temp,198
ObjectId(5b22311e30d0fb1c1e026278),tn,hosur,p1,l1,m1,op1,d1,temp,199
ObjectId(5b22311f30d0fb1c1e026279),tn,hosur,p1,l1,m1,op1,d1,temp,200
ObjectId(5b22312030d0fb1c1e02627a),tn,hosur,p1,l1,m1,op1,d1,temp,201
ObjectId(5b22312130d0fb1c1e02627b),tn,hosur,p1,l1,m1,op1,d1,temp,202
ObjectId(5b22312230d0fb1c1e02627c),tn,hosur,p1,l1,m1,op1,d1,temp,203
ObjectId(5b22312330d0fb1c1e02627d),tn,hosur,p1,l1,m1,op1,d1,temp,204
ObjectId(5b22312430d0fb1c1e02627e),tn,hosur,p1,l1,m1,op1,d1,temp,205
ObjectId(5b22312530d0fb1c1e02627f),tn,hosur,p1,l1,m1,op1,d1,temp,206
ObjectId(5b22312630d0fb1c1e026280),tn,hosur,p1,l1,m1,op1,d1,temp,207
ObjectId(5b22312730d0fb1c1e026281),tn,hosur,p1,l1,m1,op1,d1,temp,208
ObjectId(5b22312830d0fb1c1e026282),tn,hosur,p1,l1,m1,op1,d1,temp,209
ObjectId(5b22312930d0fb1c1e026283),tn,hosur,p1,l1,m1,op1,d1,temp,210
ObjectId(5b22312a30d0fb1c1e026284),tn,hosur,p1,l1,m1,op1,d1,temp,211
ObjectId(5b22312b30d0fb1c1e026285),tn,hosur,p1,l1,m1,op1,d1,temp,212
ObjectId(5b22312c30d0fb1c1e026286),tn,hosur,p1,l1,m1,op1,d1,temp,213
ObjectId(5b22312d30d0fb1c1e026287),tn,hosur,p1,l1,m1,op1,d1,temp,214
ObjectId(5b22312e30d0fb1c1e026288),tn,hosur,p1,l1,m1,op1,d1,temp,215
ObjectId(5b22312f30d0fb1c1e026289),tn,hosur,p1,l1,m1,op1,d1,temp,216
ObjectId(5b22313030d0fb1c1e02628a),tn,hosur,p1,l1,m1,op1,d1,temp,217
ObjectId(5b22313130d0fb1c1e02628b),tn,hosur,p1,l1,m1,op1,d1,temp,218
ObjectId(5b22313230d0fb1c1e02628c),tn,hosur,p1,l1,m1,op1,d1,temp,219
ObjectId(5b22313330d0fb1c1e02628d),tn,hosur,p1,l1,m1,op1,d1,temp,220
ObjectId(5b22313430d0fb1c1e02628e),tn,hosur,p1,l1,m1,op1,d1,temp,221
ObjectId(5b22313530d0fb1c1e02628f),tn,hosur,p1,l1,m1,op1,d1,temp,222
ObjectId(5b22313630d0fb1c1e026290),tn,hosur,p1,l1,m1,op1,d1,temp,223
ObjectId(5b22313730d0fb1c1e026291),tn,hosur,p1,l1,m1,op1,d1,temp,224
ObjectId(5b22313830d0fb1c1e026292),tn,hosur,p1,l1,m1,op1,d1,temp,225
ObjectId(5b22313930d0fb1c1e026293),tn,hosur,p1,l1,m1,op1,d1,temp,226
ObjectId(5b22313a30d0fb1c1e026294),tn,hosur,p1,l1,m1,op1,d1,temp,227
ObjectId(5b22313b30d0fb1c1e026295),tn,hosur,p1,l1,m1,op1,d1,temp,228
ObjectId(5b22313c30d0fb1c1e026296),tn,hosur,p1,l1,m1,op1,d1,temp,229
ObjectId(5b22313d30d0fb1c1e026297),tn,hosur,p1,l1,m1,op1,d1,temp,230
ObjectId(5b22313e30d0fb1c1e026298),tn,hosur,p1,l1,m1,op1,d1,temp,231
ObjectId(5b22313f30d0fb1c1e026299),tn,hosur,p1,l1,m1,op1,d1,temp,232
ObjectId(5b22314030d0fb1c1e02629a),tn,hosur,p1,l1,m1,op1,d1,temp,233
ObjectId(5b22314130d0fb1c1e02629b),tn,hosur,p1,l1,m1,op1,d1,temp,234
ObjectId(5b22314230d0fb1c1e02629c),tn,hosur,p1,l1,m1,op1,d1,temp,235
ObjectId(5b22314330d0fb1c1e02629d),tn,hosur,p1,l1,m1,op1,d1,temp,236
ObjectId(5b22314430d0fb1c1e02629e),tn,hosur,p1,l1,m1,op1,d1,temp,237
ObjectId(5b22314530d0fb1c1e02629f),tn,hosur,p1,l1,m1,op1,d1,temp,238
ObjectId(5b22314630d0fb1c1e0262a0),tn,hosur,p1,l1,m1,op1,d1,temp,239
ObjectId(5b22314730d0fb1c1e0262a1),tn,hosur,p1,l1,m1,op1,d1,temp,240
ObjectId(5b22314830d0fb1c1e0262a2),tn,hosur,p1,l1,m1,op1,d1,temp,241
ObjectId(5b22314930d0fb1c1e0262a3),tn,hosur,p1,l1,m1,op1,d1,temp,242
ObjectId(5b22314b30d0fb1c1e0262a4),tn,hosur,p1,l1,m1,op1,d1,temp,243
ObjectId(5b22314b30d0fb1c1e0262a5),tn,hosur,p1,l1,m1,op1,d1,temp,244
ObjectId(5b22314c30d0fb1c1e0262a6),tn,hosur,p1,l1,m1,op1,d1,temp,245
ObjectId(5b22314d30d0fb1c1e0262a7),tn,hosur,p1,l1,m1,op1,d1,temp,246
ObjectId(5b22314e30d0fb1c1e0262a8),tn,hosur,p1,l1,m1,op1,d1,temp,247
ObjectId(5b22314f30d0fb1c1e0262a9),tn,hosur,p1,l1,m1,op1,d1,temp,248
ObjectId(5b22315030d0fb1c1e0262aa),tn,hosur,p1,l1,m1,op1,d1,temp,249
ObjectId(5b22315130d0fb1c1e0262ab),tn,hosur,p1,l1,m1,op1,d1,temp,250
ObjectId(5b22315230d0fb1c1e0262ac),tn,hosur,p1,l1,m1,op1,d1,temp,251
ObjectId(5b22315330d0fb1c1e0262ad),tn,hosur,p1,l1,m1,op1,d1,temp,252
ObjectId(5b22315430d0fb1c1e0262ae),tn,hosur,p1,l1,m1,op1,d1,temp,253
ObjectId(5b22315530d0fb1c1e0262af),tn,hosur,p1,l1,m1,op1,d1,temp,254
ObjectId(5b22315630d0fb1c1e0262b0),tn,hosur,p1,l1,m1,op1,d1,temp,255
ObjectId(5b22315730d0fb1c1e0262b1),tn,hosur,p1,l1,m1,op1,d1,temp,256
ObjectId(5b22315830d0fb1c1e0262b2),tn,hosur,p1,l1,m1,op1,d1,temp,257
ObjectId(5b22315930d0fb1c1e0262b3),tn,hosur,p1,l1,m1,op1,d1,temp,258
ObjectId(5b22315a30d0fb1c1e0262b4),tn,hosur,p1,l1,m1,op1,d1,temp,259
ObjectId(5b22315b30d0fb1c1e0262b5),tn,hosur,p1,l1,m1,op1,d1,temp,260
ObjectId(5b22315c30d0fb1c1e0262b6),tn,hosur,p1,l1,m1,op1,d1,temp,261
ObjectId(5b22315d30d0fb1c1e0262b7),tn,hosur,p1,l1,m1,op1,d1,temp,262
ObjectId(5b22315e30d0fb1c1e0262b8),tn,hosur,p1,l1,m1,op1,d1,temp,263
ObjectId(5b22315f30d0fb1c1e0262b9),tn,hosur,p1,l1,m1,op1,d1,temp,264
ObjectId(5b22316030d0fb1c1e0262ba),tn,hosur,p1,l1,m1,op1,d1,temp,265
ObjectId(5b22316130d0fb1c1e0262bb),tn,hosur,p1,l1,m1,op1,d1,temp,266
ObjectId(5b22316230d0fb1c1e0262bc),tn,hosur,p1,l1,m1,op1,d1,temp,267
ObjectId(5b22316330d0fb1c1e0262bd),tn,hosur,p1,l1,m1,op1,d1,temp,268
ObjectId(5b22316430d0fb1c1e0262be),tn,hosur,p1,l1,m1,op1,d1,temp,269
ObjectId(5b22316530d0fb1c1e0262bf),tn,hosur,p1,l1,m1,op1,d1,temp,270
ObjectId(5b22316630d0fb1c1e0262c0),tn,hosur,p1,l1,m1,op1,d1,temp,271
ObjectId(5b22316730d0fb1c1e0262c1),tn,hosur,p1,l1,m1,op1,d1,temp,272
ObjectId(5b22316830d0fb1c1e0262c2),tn,hosur,p1,l1,m1,op1,d1,temp,273
ObjectId(5b22316930d0fb1c1e0262c3),tn,hosur,p1,l1,m1,op1,d1,temp,274
ObjectId(5b22316a30d0fb1c1e0262c4),tn,hosur,p1,l1,m1,op1,d1,temp,275
ObjectId(5b22316b30d0fb1c1e0262c5),tn,hosur,p1,l1,m1,op1,d1,temp,276
